sr no.,Wn,LL,PI,e0,Gs,cc
129,29,39,19,0.77,2.68,0.279
130,38.7,53,30,0.833,2.61,0.302
131,29.8,54,31,0.755,2.57,0.149
132,34,58,36,0.867,2.61,0.196
133,26.5,36,17,0.676,2.62,0.159
134,25.1,43,25,0.708,2.6,0.156
135,30.3,46,25,0.775,2.63,0.173
136,19.4,38,17,0.529,2.64,0.11
137,22.5,36,16,0.599,2.63,0.149
138,20.3,30,8,0.546,2.64,0.149
139,21.7,42,22,0.658,2.6,0.22
140,19.4,40,19,0.528,2.53,0.149
141,22.9,31,12,0.628,2.57,0.143
